page_id;page_title;page_ns;revision_id;timestamp;contributor_id;contributor_name;bytes
1267;|Hilo:TLOZLINK/@comment-10020000-20130512191203|;1201;2091;2013-08-25T16:15:18Z;22439;|Wikia|;68
1268;|Hilo:TLOZLINK/@comment-10020000-20130512191203/@comment-16487266-20130512193125|;1201;2093;2013-08-25T16:15:19Z;22439;|Wikia|;101
1269;|Hilo:TLOZLINK/@comment-10020000-20130513201205|;1201;2095;2013-08-25T16:15:19Z;22439;|Wikia|;68
1270;|Hilo:TLOZLINK/@comment-10020000-20130513201205/@comment-10020000-20130514202626|;1201;2097;2013-08-25T16:15:19Z;22439;|Wikia|;103
1271;|Hilo:TLOZLINK/@comment-10020000-20130513201205/@comment-16487266-20130514183903|;1201;2099;2013-08-25T16:15:19Z;22439;|Wikia|;101
1272;|Hilo:TLOZLINK/@comment-10020000-20130513201527|;1201;2101;2013-08-25T16:15:19Z;22439;|Wikia|;68
1273;|Hilo:TLOZLINK/@comment-10020000-20130513201527/@comment-16487266-20130514184026|;1201;2103;2013-08-25T16:15:19Z;22439;|Wikia|;101
1274;|Hilo:TLOZLINK/@comment-10020000-20130515220350|;1201;2105;2013-08-25T16:15:19Z;22439;|Wikia|;68
1276;|Hilo:TLOZLINK/@comment-10020000-20130515220350/@comment-16487266-20130516141418|;1201;2109;2013-08-25T16:15:19Z;22439;|Wikia|;101
1275;|Hilo:TLOZLINK/@comment-10020000-20130515220350/@comment-5908766-20130516015304|;1201;2107;2013-08-25T16:15:19Z;22439;|Wikia|;99
1431;|Hilo:TLOZLINK/@comment-11615164-20130706150302|;1201;2419;2013-08-25T16:15:34Z;22439;|Wikia|;71
1432;|Hilo:TLOZLINK/@comment-11615164-20130706150302/@comment-16487266-20130706161955|;1201;2421;2013-08-25T16:15:34Z;22439;|Wikia|;104
1260;|Hilo:TLOZLINK/@comment-126681-20130413140304|;1201;2077;2013-08-25T16:15:18Z;22439;|Wikia|;62
1261;|Hilo:TLOZLINK/@comment-126681-20130413140304/@comment-16487266-20130505224333|;1201;2079;2013-08-25T16:15:18Z;22439;|Wikia|;95
1430;|Hilo:TLOZLINK/@comment-16487266-20130512193950|;1201;2417;2013-08-25T16:15:34Z;22439;|Wikia|;66
1433;|Hilo:TLOZLINK/@comment-4353587-20130610040938|;1201;2423;2013-08-25T16:15:34Z;22439;|Wikia|;61
